snomedcode,Ethnicity,Grouping_16,Grouping_6
154220006,Tokelauan,16,5
154221005,Fijian,16,5
154222003,Other Pacific ethnic group,16,5
154223008,South East Asian,11,3
154224002,Chinese,15,5
154225001,Indian,8,3
154226000,Other Asian,11,3
154227009,Other New Zealand ethnic group,16,5
154229007,New Zealand ethnic group NOS,16,5
15801006,Kapingas,16,5
160531006,Race: West indian,12,4
162730000,On examination - ethnic group,0,0
162731001,On examination - Europeanoid,0,0
162732008,On examination - Negroid,0,0
162734009,On examination - Australoid,0,0
162735005,On examination - ethnic group NOS,0,0
17095009,Norwegians,3,1
17789004,Papuans,16,5
18167009,Black African,13,4
18575005,Oceanian,16,5
18583004,Estonians,3,1
185983003,Ethnic group (1991 census) (United Kingdom),0,0
185984009,White - ethnic group,3,1
185985005,White British,1,1
185986006,White Irish,2,1
185987002,Other white ethnic group,3,1
185988007,Black Caribbean,12,4
185989004,"Black, other, non-mixed origin",14,4
185990008,Black British,14,4
185991007,Black Caribbean &/or W.I. &/or Guyana,12,4
185992000,Black N African &/or Arab &/or Iranian,14,4
185993005,Black - other African country,13,4
185994004,Black E Afric Asia &/or Indo-Caribb,14,4
185995003,Black Indian sub-continent,14,4
185996002,Black - other Asian,14,4
185997006,Black Black - other,14,4
185998001,"Black - other, mixed",7,2
185999009,Other Black - Black/White orig,7,2
186000006,Other Black - Black/Asian orig,7,2
186001005,Indian (East Indian),8,3
186002003,Pakistani,9,3
186003008,Bangladeshi,10,3
186004002,Chinese,15,5
186005001,Other ethnic non-mixed (NMO),16,5
186006000,British ethnic minority specified (NMO),16,5
186007009,British ethnic minority unspecified (NMO),16,5
186008004,Caribbean I. &/or W.I. &/or Guyana (NMO),12,4
186009007,N African Arab &/or Iranian (NMO),16,5
186010002,Other African countries (NMO),13,4
186011003,E Afric Asian &/or Indo-Carib (NMO),11,3
186012005,Indian sub-continent (NMO),8,3
186013000,Other Asian (NMO),11,3
186014006,Irish (NMO),2,1
186015007,Greek &/or Greek Cypriot (NMO),3,1
186016008,Turkish &/or Turkish Cypriot (NMO),3,1
186017004,Other European (NMO),3,1
186018009,Other ethnic NEC (NMO),16,5
186019001,"Other ethnic, mixed origin",7,2
186020007,"Other ethnic, Black/White origin",4,2
186021006,"Other ethnic, Asian/White origin",6,2
186022004,"Other ethnic, mixed white origin",7,2
186023009,"Other ethnic, other mixed origin",7,2
186024003,Black Caribbean and White,4,2
186025002,Black African and White,5,2
186026001,Vietnamese,16,5
186027005,Ethnic group not given - patient refused,0,0
186028000,Ethnic group not recorded,0,0
186029008,Other black ethnic group,14,4
186030003,Other Asian ethnic group,11,3
186031004,Irish traveller,3,1
186032006,Other ethnic group,16,5
186033001,Ethnic groups (census) NOS,0,0
186034007,Ethnicity / related nationality data,0,0
186035008,New Zealand ethnic groups,16,5
186036009,New Zealand European,3,1
186037000,Other European in New Zealand,16,5
186039002,New Zealand Maori,16,5
186040000,Cook Island Maori,16,5
186041001,Niuean,16,5
186042008,Tokelauan,16,5
186043003,Other Pacific ethnic group,16,5
186044009,South East Asian,11,3
186045005,Indian,8,3
186046006,Other Asian,11,3
186047002,Other New Zealand ethnic group,16,5
186048007,New Zealand ethnic group NOS,16,5
18664001,Xavante,16,5
19085009,Saipanese,16,5
1919006,Egyptians,13,4
19434008,French,3,1
20140003,Hawaiians,16,5
202171000000101,Patient ethnicity unknown,0,0
20291009,Lacandon,16,5
20449009,Javanese,11,3
207971000000101,Patient ethnicity unknown,0,0
207981000000104,Patient ethnicity unknown,0,0
21047009,Aleuts,16,5
21868006,Madagascans,13,4
21993009,Indonesians,11,3
22007004,Shoshone,16,5
23517005,Polynesians,16,5
23534002,Melanesians,16,5
23922002,Batutsi,13,4
24812003,Mongol,11,3
25750005,Admiralty Islanders,16,5
25804004,English,1,1
26215007,South Asian Aborigine,11,3
2688009,Tristan da Cunhans,11,3
268914005,On examination - Mongoloid origin,0,0
270460000,Black Caribbean/West India/Guyana,12,4
270461001,Black N African/Arab/Iranian,14,4
270462008,Black East African Asian/Indo-Caribbean,14,4
270463003,Caribbean I./W.I./Guyana (NMO),12,4
270464009,N African Arab/Iranian (NMO),16,5
270465005,E Afric Asian/Indo-Carib (NMO),11,3
270466006,Greek/Greek Cypriot (NMO),3,1
270467002,Turkish/Turkish Cypriot (NMO),3,1
2720008,Hututu,13,4
27301002,Paez,16,5
275586009,Black North African,13,4
275587000,Black Arab,14,4
275588005,Black Iranian,14,4
275589002,Black East African Asian,14,4
275590006,Black Indo-Caribbean,14,4
275591005,Caribbean Island (NMO),12,4
275592003,West Indian (NMO),12,4
275593008,Guyana (NMO),12,4
275594002,North African Arab (NMO),16,5
275595001,Iranian (NMO),16,5
275596000,East African Asian (NMO),11,3
275597009,Indo-Caribbean (NMO),11,3
275599007,Greek (NMO),3,1
275600005,Greek Cypriot (NMO),3,1
275601009,Turkish (NMO),3,1
275602002,Turkish Cypriot (NMO),3,1
27683006,Ainu,11,3
27700004,Iraqi,16,5
28409002,Spaniards,3,1
2852001,Bhutanese,11,3
28562006,Poles,3,1
286009,Czech,3,1
28796001,Siamese,11,3
28821007,Easter Islanders,16,5
29343004,Bulgarian,3,1
296841000000102,Yemeni,16,5
309643000,Black West Indian,12,4
309644006,Black Guyana,12,4
312859007,Vietnamese,16,5
312860002,Ethnic group not given - patient refused,0,0
312861003,Ethnic group not recorded,0,0
315236000,White British,1,1
315237009,White Irish,2,1
315238004,Other white ethnic group,3,1
315239007,Mixed ethnic census group,7,2
315240009,Black - ethnic group,14,4
315279003,Other black ethnic group,14,4
315280000,Asian - ethnic group,11,3
315281001,Other Asian ethnic group,11,3
315282008,Other ethnic group,16,5
315283003,Irish traveller,3,1
315634007,Black Caribbean and White,4,2
315635008,Black African and White,5,2
31637002,Italians,3,1
32045009,Georgians,3,1
32513008,Dyaks,11,3
32873005,Bloods,16,5
33182009,Trukese,16,5
3353005,Pueblo,16,5
33897005,Chinese,15,5
34334001,New Caledonians,16,5
35007000,Utes,16,5
354441000000105,Ethnicity - National Public Health Classification,0,0
36329002,Slovak,3,1
364699009,Ethnic group,0,0
365455004,Ethnic groups (1991 census) (United Kingdom),0,0
365456003,Finding of ethnicity / related nationality data,0,0
367505005,Caucasian (living organism),3,1
3698008,Micronesians,16,5
372148003,Ethnic group,0,0
37474002,Ghanaians,13,4
37843006,Fulani,13,4
38144004,Athabascans,16,5
3818007,Senegalese,13,4
38361009,Koreans,16,5
38750003,Bororo,16,5
39007007,Black Jews,0,0
393199009,Gypsies,3,1
394149000,Gypsies,3,1
394635008,Gypsies,3,1
397607002,"Perioperative plan of care consistent with patient value system, lifestyle, ethnicity, and culture",0,0
39764005,Bantu,13,4
397731000,Ethnic group finding,0,0
398089004,Ethnic background,0,0
401213008,White Scottish,1,1
401214002,Other white British ethnic group,1,1
40165009,Buriats,11,3
40182006,Gypsies,3,1
4073004,Palauans,16,5
41076003,Mozambiquans,13,4
41121000000107,Other white British ethnic group,1,1
413465009,Afro-Caribbean,12,4
413466005,Afro-Caucasian,5,2
413569000,Arab,16,5
414152003,European,3,1
414551003,Japanese,11,3
414661004,Melanesian,16,5
414978006,Oriental,11,3
41798002,Caroline Islanders,16,5
42632009,Andamanese,11,3
4299001,Marathas,11,3
43056000,Cuna,16,5
43481000000100,Other white British ethnic group,1,1
43608005,Australian Aborigines,16,5
43890005,Dieguenos,16,5
443225003,Ethnicity of caregiver,0,0
44460002,Turks,11,3
445343003,Romanian,3,1
44881000000100,White Scottish,1,1
44891000000103,Other white British ethnic group,1,1
45465003,Basques,3,1
46110004,Somalis,13,4
46723002,Badagas,11,3
47250000,Bruneians,11,3
47327008,Mexican Indians,16,5
48118002,Yapese,16,5
48294008,Solomon Islanders,16,5
48375000,Seminole,16,5
48393004,Ethnic group finding,0,0
48679001,Bogobos,11,3
49202008,Gilbertese,16,5
494131000000105,White British - ethnic category 2001 census,1,1
494161000000100,White Irish - ethnic category 2001 census,2,1
503391000000104,Ethnicity of carer,0,0
503401000000101,Ethnicity of carer,0,0
503411000000104,Ethnicity of carer,0,0
50405005,Senoi,16,5
51750002,Hottentot,13,4
51827000,Oriental Jews,0,0
518701000000103,Romanian,3,1
518721000000107,Bulgarian,3,1
519681000000108,Czech,3,1
52075006,Congolese,13,4
53195006,Kirghiz,11,3
53460002,Serbs,3,1
55990000,Inca,16,5
56056003,Belgians,3,1
57405008,Chenchu,11,3
57539009,Navaho,16,5
58047002,Barundi,13,4
583481000000105,Other ethnic NEC (NMO),16,5
583491000000107,Ethnic groups (census) NOS,0,0
591311000000105,On examination - ethnic group NOS,0,0
592491000000104,Other New Zealand ethnic group,16,5
592501000000105,New Zealand ethnic group NOS,16,5
59366001,Ibo,13,4
59487007,Syrians,16,5
59597001,Marshallese,16,5
60157000,Ellice Islanders,16,5
62598008,Venezuelan Indians,16,5
63457007,Maya,16,5
6373008,Choco,16,5
63732001,New Hebrideans,16,5
63736003,Taiwanese,11,3
64483007,Indians (Hindi-speaking),8,3
64693008,Hungarian,3,1
651601000000100,Black Black - other,14,4
65776006,Blackfeet,16,5
661731000000107,Other Pacific ethnic group,16,5
661741000000103,Other Asian,11,3
66406004,Huasteco,16,5
666871000000107,Other ethnic group,16,5
668681000000107,Other white ethnic group,3,1
66920001,Amerind,16,5
67165000,Lapps,11,3
67439005,Msutu,13,4
67931002,Aztec,16,5
68486007,Austrians,3,1
69865008,Fijian,16,5
69983001,Irani,16,5
704385002,Punjabi,11,3
704386001,Orang asli,11,3
704387005,Kadazan,11,3
704388000,Melanau,11,3
704389008,Murut,11,3
704390004,Bajau,11,3
704391000,Bidayuh,11,3
704392007,Iban,11,3
710011000000101,Slovak,3,1
71176007,Pygmies,13,4
718021000000105,Portuguese,3,1
718131000000106,Nepali,11,3
718958002,Roma,3,1
718959005,Czech Roma,3,1
718960000,Romanian Roma,3,1
718961001,Slovak Roma,3,1
718962008,Bulgarian Roma,3,1
718963003,Hungarian Roma,3,1
718964009,Polish Roma,3,1
71949006,Chippewa,16,5
72201005,Hobe,13,4
72248007,Kikuyu,13,4
72337002,Brazilian Indians,16,5
723621000000103,Ethnicity,0,0
72809004,Icelanders,3,1
728721000000100,Carer from Black and minority ethnic group,0,0
728731000000103,Carer from Black and Minority Ethnic group,0,0
733078003,Ukrainian,3,1
733446001,Canadian,3,1
735001008,Scandinavian,3,1
73524008,Caingang,16,5
73736004,Maori,16,5
74159009,Melanuans,16,5
74302004,Apache,16,5
75301003,Mapuche,16,5
75326007,Labradors,16,5
75704009,Toba,16,5
76253004,Zulu,13,4
763726001,Refusal by patient to provide information about ethnic group,0,0
76460008,Yanomama,16,5
76574004,Swiss,3,1
76768002,Filipinos,11,3
76775001,Ugandans,13,4
76883002,Huichol,16,5
7695005,Germans,3,1
77502007,Atacamenos,16,5
77686000,Kwakiutl,16,5
77711000000105,Other white British ethnic group,1,1
79434006,Quechua,16,5
80208004,Portuguese,3,1
80528001,Xosa,13,4
81035008,Pakistani (Urduspeakers),9,3
8124001,West Africans,13,4
81283004,Todas,11,3
81403004,Swedes,3,1
81560001,Tongan,16,5
81653003,Pehuenches,16,5
81846005,Naiars,11,3
82121000000108,Other white British ethnic group,1,1
82174001,Shona,13,4
83365001,Thais,11,3
83584002,Luo,13,4
83939006,Irula,11,3
85163001,Russians,3,1
85371009,Bushmen,13,4
85515006,Eskimo,16,5
86275006,Samoan,16,5
86461000000107,Sri Lankan - ethnic category 2001 census,11,3
870448005,Khoikhoi,13,4
87323008,Nez Percé,16,5
88790004,Abyssinians (Amharas),13,4
88839008,Sudanese,13,4
88911000000101,Irish Traveller - ethnic category 2001 census,3,1
88921000000107,Traveller - ethnic category 2001 census,3,1
88931000000109,Gypsy/Romany - ethnic category 2001 census,3,1
88934004,Nigerians,13,4
88941000000100,Polish - ethnic category 2001 census,3,1
88951000000102,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census,3,1
88961000000104,Commonwealth of (Russian) Independent States - ethnic category 2001 census,3,1
88971000000106,Albanian - ethnic category 2001 census,3,1
88981000000108,Serbian - ethnic category 2001 census,3,1
88991000000105,Jewish - ethnic category 2001 census,0,0
89001000000105,Arab - ethnic category 2001 census,16,5
89011000000107,Iranian - ethnic category 2001 census,16,5
89021000000101,South and Central American - ethnic category 2001 census,16,5
89026003,Alacaluf,16,5
89031000000104,Muslim - ethnic category 2001 census,0,0
90027003,Arabs,16,5
90348007,Ghashgai,11,3
90822005,Gambians,13,4
91066000,Tatars,11,3
91191002,Oraons,11,3
91488008,New Britons,16,5
9158000,Liberians,13,4
92381000000106,Ethnic category - 2001 census,0,0
92391000000108,British or mixed British - ethnic category 2001 census,1,1
92401000000106,Irish - ethnic category 2001 census,2,1
92411000000108,Other White background - ethnic category 2001 census,3,1
92421000000102,White and Black Caribbean - ethnic category 2001 census,4,2
92431000000100,White and Black African - ethnic category 2001 census,5,2
92441000000109,White and Asian - ethnic category 2001 census,6,2
92451000000107,Other Mixed background - ethnic category 2001 census,7,2
92461000000105,Pakistani or British Pakistani - ethnic category 2001 census,9,3
92471000000103,Bangladeshi or British Bangladeshi - ethnic category 2001 census,10,3
92481000000101,Other Asian background - ethnic category 2001 census,11,3
92491000000104,African - ethnic category 2001 census,13,4
92501000000105,Other Black background - ethnic category 2001 census,14,4
92511000000107,Chinese - ethnic category 2001 census,15,5
92521000000101,Other - ethnic category 2001 census,16,5
92531000000104,Ethnic category not stated - 2001 census,0,0
92541000000108,Scottish - ethnic category 2001 census,1,1
92551000000106,Welsh - ethnic category 2001 census,1,1
92561000000109,Northern Irish - ethnic category 2001 census,1,1
92571000000102,Cornish - ethnic category 2001 census,1,1
92581000000100,Black and Asian - ethnic category 2001 census,7,2
92591000000103,Black and Chinese - ethnic category 2001 census,7,2
92601000000109,Chinese and White - ethnic category 2001 census,7,2
92611000000106,Asian and Chinese - ethnic category 2001 census,7,2
92621000000100,Other Mixed or Mixed unspecified - ethnic category 2001 census,7,2
92631000000103,Mixed Asian - ethnic category 2001 census,7,2
92641000000107,Punjabi - ethnic category 2001 census,8,3
92651000000105,Kashmiri - ethnic category 2001 census,11,3
92661000000108,East African Asian - ethnic category 2001 census,11,3
92671000000101,Tamil - ethnic category 2001 census,11,3
92681000000104,British Asian - ethnic category 2001 census,11,3
92691000000102,Caribbean Asian - ethnic category 2001 census,11,3
92701000000102,Other Asian or Asian unspecified - ethnic category 2001 census,11,3
92711000000100,Somali - ethnic category 2001 census,13,4
92721000000106,Mixed Black - ethnic category 2001 census,7,2
92731000000108,Nigerian - ethnic category 2001 census,13,4
92741000000104,Other Black or Black unspecified - ethnic category 2001 census,14,4
92751000000101,Vietnamese - ethnic category 2001 census,11,3
92761000000103,Japanese - ethnic category 2001 census,11,3
92771000000105,Filipino - ethnic category 2001 census,11,3
92781000000107,Malaysian - ethnic category 2001 census,11,3
92791000000109,Cypriot (part not stated) - ethnic category 2001 census,3,1
93921000000101,Ulster Scots - ethnic category 2001 census,3,1
93931000000104,Greek - ethnic category 2001 census,3,1
93941000000108,Greek Cypriot - ethnic category 2001 census,3,1
93951000000106,Turkish Cypriot - ethnic category 2001 census,3,1
93961000000109,Italian - ethnic category 2001 census,3,1
93981000000100,Kosovan - ethnic category 2001 census,3,1
93991000000103,Bosnian - ethnic category 2001 census,3,1
94001000000108,Croatian - ethnic category 2001 census,3,1
94011000000105,Other republics which made up the former Yugoslavia - ethnic category 2001 census,3,1
94021000000104,Mixed Irish and other White - ethnic category 2001 census,3,1
94031000000102,Other mixed White - ethnic category 2001 census,3,1
94041000000106,Other White European or European unspecified or Mixed European - ethnic category 2001 census,3,1
94051000000109,Other White or White unspecified - ethnic category 2001 census,3,1
94061000000107,North African - ethnic category 2001 census,13,4
94071000000100,"Middle Eastern (excluding Israeli, Iranian and Arab) - ethnic category 2001 census",16,5
94081000000103,Israeli - ethnic category 2001 census,16,5
94091000000101,Kurdish - ethnic category 2001 census,16,5
94101000000109,Moroccan - ethnic category 2001 census,16,5
94111000000106,Latin American - ethnic category 2001 census,16,5
94121000000100,Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census,16,5
94131000000103,Buddhist - ethnic category 2001 census,0,0
94141000000107,Sikh - ethnic category 2001 census,0,0
94151000000105,Any other group - ethnic category 2001 census,16,5
9533000,Dutch,3,1
976551000000109,Ethnic category - 2011 census,0,0
976571000000100,Ethnic category - 2011 census England and Wales,0,0
976591000000101,Ethnic category - 2011 census Northern Ireland,0,0
976611000000109,Ethnic category - 2011 census Scotland,0,0
976631000000101,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census,1,1
976651000000108,White: Irish - England and Wales ethnic category 2011 census,2,1
976671000000104,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census,3,1
976691000000100,White: any other White background - England and Wales ethnic category 2011 census,3,1
976711000000103,Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census,4,2
976721000000109,Mixed multiple ethnic groups: white and black Caribbean - England and Wales ethnic category 2011 census,4,2
976731000000106,Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census,5,2
976741000000102,Mixed multiple ethnic groups: white and black African - England and Wales ethnic category 2011 census,5,2
976751000000104,Mixed multiple ethnic groups: White and Asian - England and Wales ethnic category 2011 census,6,2
976761000000101,Mixed multiple ethnic groups: white and Asian - England and Wales ethnic category 2011 census,6,2
976771000000108,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census,7,2
976781000000105,Mixed multiple ethnic groups: any other Mixed or  Multiple ethnic background - England and Wales ethnic category 2011 census,7,2
976791000000107,Asian or Asian British: Indian - England and Wales ethnic category 2011 census,8,3
976811000000108,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census,9,3
976831000000100,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census,10,3
976851000000107,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census,15,5
976871000000103,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census,11,3
976891000000104,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census,13,4
976911000000101,Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census,12,4
976931000000109,Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census,14,4
976951000000102,Other ethnic group: Arab - England and Wales ethnic category 2011 census,16,5
976961000000104,Other ethnic group: Arab - England and Wales ethnic category 2011 census,16,5
976971000000106,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census,16,5
976981000000108,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census,16,5
977351000000100,White - Northern Ireland ethnic category 2011 census,3,1
977371000000109,Irish Traveller - Northern Ireland ethnic category 2011 census,3,1
977391000000108,Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census,4,2
977401000000106,Mixed multiple ethnic groups: white and black Caribbean - Northern Ireland ethnic category 2011 census,4,2
977411000000108,Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census,5,2
977421000000102,Mixed multiple ethnic groups: white and black African - Northern Ireland ethnic category 2011 census,5,2
977431000000100,Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census,6,2
977441000000109,Mixed multiple ethnic groups: white and Asian - Northern Ireland ethnic category 2011 census,6,2
977551000000106,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census,7,2
977561000000109,Mixed multiple ethnic groups: any other Mixed or Multiple ethnic background - Northern Ireland ethnic category 2011 census,7,2
977591000000103,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census,8,3
977711000000100,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census,9,3
977731000000108,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census,10,3
977751000000101,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census,15,5
977771000000105,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census,11,3
977791000000109,Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census,13,4
977811000000105,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census,12,4
977831000000102,Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census,14,4
977851000000109,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census,16,5
977861000000107,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census,16,5
977871000000100,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census,16,5
977881000000103,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census,16,5
977911000000103,White: Scottish - Scotland ethnic category 2011 census,1,1
977931000000106,White: other British - Scotland ethnic category 2011 census,1,1
977951000000104,White: Irish - Scotland ethnic category 2011 census,2,1
977971000000108,White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census,3,1
978011000000101,White: Polish - Scotland ethnic category 2011 census,3,1
978031000000109,White: any other White ethnic group - Scotland ethnic category 2011 census,3,1
978041000000100,White: any other white ethnic group - Scotland ethnic category 2011 census,3,1
978051000000102,Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census,7,2
978061000000104,Mixed or multiple ethnic groups: any Mixed or Multiple ethnic group - Scotland ethnic category 2011 census,7,2
978071000000106,"Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census",9,3
978111000000100,"Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census",8,3
978171000000105,"Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census",10,3
978191000000109,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census,15,5
978211000000108,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census,11,3
978231000000100,"African: African, African Scottish or African British - Scotland ethnic category 2011 census",13,4
978251000000107,African: any other African - Scotland ethnic category 2011 census,13,4
978271000000103,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census",14,4
978341000000102,"Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census",14,4
978361000000101,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census,14,4
978381000000105,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census",16,5
978391000000107,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census",16,5
978401000000105,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census,16,5
978411000000107,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census,16,5
978241000000109,African: African African Scottish or African British - Scotland ethnic category 2011 census,13,4
977921000000109,White: Scottish - Scotland ethnic category 2011 census,1,1
976941000000100,Black or African or Caribbean or Black British : other black or African or Caribbean background - England and Wales ethnic category 2011 census,14,4
977601000000109,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census,8,3
976661000000106,White: Irish - England and Wales ethnic category 2011 census,2,1
976901000000103,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census,13,4
976861000000105,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census,15,5
978021000000107,White: Polish - Scotland ethnic category 2011 census,3,1
414752008,Mixed racial group (racial group),7,2
976801000000106,Asian or Asian British: Indian - England and Wales ethnic category 2011 census,8,3
494151000000103,White British - ethnic category 2001 census,1,1
976881000000101,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census,11,3
976841000000109,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census,10,3
977781000000107,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census,11,3
494171000000107,White Irish - ethnic category 2001 census,2,1
413773004,Caucasian (racial group),3,1
494181000000109,White Irish - ethnic category 2001 census,2,1
976641000000105,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census,1,1
